Revenue,Expenses,Employee_Count,Market_Share,Advertising_Spend,Product_Count,Customer_Satisfaction,Debt,Profit_or_Loss
941511.9083283669,336667.32967317034,2508.0,0.14050953428538573,34240.687626777144,22.0,3.9756031108318473,88977.76787288785,Profit
843019.2537386715,116672.40267007197,4597.0,0.4838771085553416,32308.09524662092,54.0,5.880885089482136,291071.5593357989,Profit
792427.4515812238,535828.7983096434,458.0,0.06577683983227701,27515.571519781966,1.0,1.224080199684578,447888.3655011802,Profit
336294.38096776244,452879.13785960764,3239.0,0.08741704989875212,49565.33497321073,51.0,2.526909966921614,124239.99371769934,Loss
567128.4245261787,60909.81356209542,1014.0,0.03237716673244832,44816.23987511456,85.0,8.662728742598237,249723.63657286484,Profit
497417.6510659543,410386.3539561375,648.0,0.39954894134152213,35834.26167484237,63.0,9.60915265565575,242983.4813039085,Profit
,,,,,,,,Profit
247238.0859418995,213255.72718216595,2639.0,0.14554552285646222,5128.97543635801,91.0,7.952202016369714,228353.94463547386,Profit
947760.6463791616,116374.45470464439,2917.0,0.1107446500086918,24774.00793479105,34.0,2.0067629907209046,268128.89552298596,Profit
709781.9341643663,778993.0919495327,4225.0,0.18323152468828574,25304.338666429205,29.0,5.254217030775054,69126.82899111128,Loss
419554.62941913115,564776.0471843588,4770.0,0.38523300953823136,3545.0220329108543,68.0,5.576213346902373,229117.9180536886,Loss
273691.3126763157,143954.87634755552,1568.0,0.4755940936925953,38024.47016735356,71.0,6.073547032953249,170897.04120077487,Profit
759779.8280761782,568051.749127836,2681.0,0.4406463076610443,1096.3527488275693,97.0,4.252951309290511,110830.6234082424,Profit
824705.5774687049,663054.0294765894,2970.0,0.42217121383396283,21835.2393342904,57.0,8.705065193369379,254336.65375423743,Profit
363952.1085054698,539787.5848248547,2237.0,0.21456063397854033,45259.3073581622,76.0,3.731113261804616,385443.80477351986,Loss
180161.11202523604,108960.34637735183,4736.0,0.40289116378432466,17677.580803620396,33.0,5.367056371031976,88349.60013950072,Profit
497322.1313492113,116646.5435056379,4747.0,0.3908039595922939,29549.702683331947,88.0,2.7445209521666545,70785.05951983915,Profit
473817.30704019865,45404.66120719145,962.0,0.13129003986866755,16089.778023620878,65.0,6.155654606894053,62147.18491135207,Profit
728148.557156202,214433.5937470305,1545.0,0.13857377848556338,9770.096079183308,34.0,2.774543872483455,381547.44753594836,Profit
973453.0056022262,58385.93024155333,502.0,0.25450696577304144,36770.92590836262,81.0,3.1735420113325423,394039.52107110864,Profit
535969.3735313544,725746.6214476933,1626.0,0.4821040380885943,11023.939882343891,50.0,4.936256717312558,444358.7171924563,Loss
734402.095675076,18787.947485110668,3000.0,0.06287184718665387,4537.522918098786,57.0,3.4998410095649994,482065.68491653685,Profit
,,,,,,,,Loss
